Date,C,H,L,O,V
2010-01-04,2.190500020980835,2.196199893951416,2.130000114440918,2.138000011444092,48021
2010-01-05,2.1940999031066895,2.2060000896453857,2.167799949645996,2.1928999423980713,55496
2010-01-06,2.203200101852417,2.2119998931884766,2.1633999347686768,2.180000066757202,55249
2010-01-07,2.1835999488830566,2.206899881362915,2.1779000759124756,2.2044999599456787,43317
2010-01-08,2.2002999782562256,2.2081000804901123,2.1586999893188477,2.1863999366760254,49594
2010-01-11,2.1800999641418457,2.2272000312805176,2.1659998893737793,2.2144999504089355,47380
2010-01-12,2.1317999362945557,2.175299882888794,2.1073999404907227,2.171999931335449,52123
2010-01-13,2.094599962234497,2.1189000606536865,2.059999942779541,2.115000009536743,61810
2010-01-14,2.082900047302246,2.109100103378296,2.0648999214172363,2.0985000133514404,46069
2010-01-15,2.0460000038146973,2.080899953842163,2.036900043487549,2.080899953842163,44877
2010-01-19,2.0453999042510986,2.055000066757202,1.9988000392913818,2.0460000038146973,42810
2010-01-20,2.0211000442504883,2.0445001125335693,1.998900055885315,2.0445001125335693,24901
2010-01-21,1.9855999946594238,2.035099983215332,1.9779000282287598,2.024600028991699,30250
2010-01-22,1.94159996509552,1.996000051498413,1.9319000244140625,1.9800000190734863,27948
2010-01-25,1.9658000469207764,1.9692000150680542,1.9354000091552734,1.9390000104904175,20809
2010-01-26,1.9507999420166016,1.968999981880188,1.9335999488830566,1.968999981880188,26608
2010-01-27,1.9168000221252441,1.9644999504089355,1.895799994468689,1.9502999782562256,20334
2010-01-28,1.919100046157837,1.9366999864578247,1.902500033378601,1.9179999828338623,21677
2010-01-29,1.902899980545044,1.9390000104904175,1.8903000354766846,1.9220000505447388,45017
2010-02-01,1.9549000263214111,1.9697999954223633,1.9084999561309814,1.9129999876022339,46044
2010-02-02,2.0316998958587646,2.037600040435791,1.952299952507019,1.969499945640564,52681
2010-02-03,2.019399881362915,2.0573999881744385,2.0074000358581543,2.0292999744415283,55424
2010-02-04,1.9351999759674072,2.02620005607605,1.9169000387191772,2.020900011062622,59532
2010-02-05,1.8747999668121338,1.9450000524520874,1.8272000551223755,1.9300999641418457,66558
2010-02-08,1.8854999542236328,1.9035999774932861,1.8650000095367432,1.8890000581741333,44145
2010-02-09,1.9372999668121338,1.9499000310897827,1.8746999502182007,1.8830000162124634,47978
2010-02-10,1.9469000101089478,1.9611999988555908,1.9076000452041626,1.937999963760376,40534
2010-02-11,1.9630000591278076,1.976699948310852,1.9241000413894653,1.9495999813079834,47830
2010-02-12,1.9189000129699707,1.9630000591278076,1.8995000123977661,1.9627000093460083,56076
2010-02-16,1.9962999820709229,2.0072999000549316,1.9079999923706055,1.9199999570846558,47736
2010-02-17,2.006700038909912,2.012500047683716,1.9869999885559082,2.0,36345
2010-02-18,2.0515999794006348,2.0566999912261963,1.979599952697754,2.0016000270843506,48878
2010-02-19,2.0699000358581543,2.078000068664551,2.018699884414673,2.0425000190734863,29472
2010-02-22,2.0787999629974365,2.0913000106811523,2.0685999393463135,2.072999954223633,23892
2010-02-23,2.0322999954223633,2.0799999237060547,2.021699905395508,2.0759999752044678,28045
2010-02-24,2.042099952697754,2.0529000759124756,2.0153000354766846,2.036600112915039,22084
2010-02-25,1.986199975013733,2.049999952316284,1.9642000198364258,2.049999952316284,20788
2010-02-26,2.024899959564209,2.0350000858306885,1.9824999570846558,1.9910999536514282,49887
2010-03-01,2.0234999656677246,2.0680999755859375,2.0058999061584473,2.039099931716919,46042
2010-03-02,2.0560998916625977,2.0859999656677246,2.015899896621704,2.0329999923706055,45248
2010-03-03,2.0936999320983887,2.0980000495910645,2.05430006980896,2.058199882507324,53766
2010-03-04,2.068700075149536,2.0969998836517334,2.060499906539917,2.0950000286102295,41462
2010-03-05,2.097399950027466,2.1078999042510986,2.072999954223633,2.0769999027252197,39459
